code_insee,Annee,Nombre_de_Maisons_en_vente,Nombre_Apparts_en_vente,Prix_Moyen,Prix_au_m2_Moyen,Surface_Moyenne
1001,2021,11,0,274126.818181818,2551.27272727273,107
1002,2021,3,0,163766.666666667,1290,120.666666666667
1004,2021,147,102,195581.831325301,2313.82329317269,86.3895582329317
1005,2021,18,4,290837.590909091,2970.04545454545,99.5909090909091
1006,2021,4,1,171560,1631.8,104.8
1007,2021,22,3,233142.4,2352.4,103.52
1008,2021,12,0,214693.333333333,2347.08333333333,89.9166666666667
1009,2021,2,2,189000,2001.25,93.75
1010,2021,14,2,200618.125,1992.0625,108.3125
1011,2021,4,0,202075,1953.5,107
1012,2021,13,0,156485.538461538,1476.30769230769,107
1013,2021,1,0,115000,1250,92
1014,2021,23,6,197483.448275862,1810.44827586207,111.275862068966
1015,2021,5,0,248160,2250.4,109.6
1016,2021,6,0,173811.666666667,1688.66666666667,100.5
1017,2021,12,5,81135.2352941177,1063.58823529412,79.4705882352941
1021,2021,16,5,310160,2897.38095238095,116.904761904762
1022,2021,16,2,157456.888888889,1799.55555555556,91.9444444444444
1024,2021,39,3,247120.785714286,2254.92857142857,111.309523809524
1025,2021,41,0,211921.56097561,1933.65853658537,106.951219512195
1026,2021,8,1,198096.888888889,1789.77777777778,110.444444444444
1027,2021,19,9,274616.428571429,2964.39285714286,88.9285714285714
1028,2021,11,0,244000,2358.27272727273,107.545454545455
1029,2021,9,0,149860.111111111,1662.11111111111,95.2222222222222
1030,2021,5,13,149222.444444444,2102.44444444444,68.0555555555556
1031,2021,20,26,128500,1615.45652173913,76.1304347826087
1032,2021,18,10,284267.964285714,2885.96428571429,103.035714285714
1033,2021,95,187,194794.212765957,2424.24822695035,79.9751773049645
1034,2021,91,63,175913.350649351,1847.28571428571,94.7012987012987
1036,2021,16,0,178076.625,1482.0625,119.8125
1037,2021,8,0,129937.5,1188.375,105.375
1038,2021,11,0,220666.363636364,2106.54545454545,110.909090909091
1039,2021,8,0,149720.875,1428.25,111
1040,2021,5,0,168600,1773.4,96
1041,2021,15,1,207315.625,2107.25,99.9375
1042,2021,3,0,309000,2154.33333333333,143.666666666667
1043,2021,50,17,365228.223880597,3659.83582089552,102.985074626866
1044,2021,9,0,305734.222222222,3186.44444444444,101.555555555556
1045,2021,4,1,312000,2365.2,152.4
1046,2021,18,0,267478.611111111,2060.11111111111,135.055555555556
1047,2021,12,0,313300,3136.5,99.3333333333333
1049,2021,44,7,344511.215686275,3513.94117647059,99.9411764705882
1050,2021,7,0,231495,2053.14285714286,116.857142857143
1051,2021,3,0,132333.333333333,1037.66666666667,130.666666666667
1052,2021,6,0,548843.333333333,2739.66666666667,185
1053,2021,153,559,151251.126404494,1959.78370786517,78.5660112359551
1054,2021,12,0,369145.833333333,2968.5,131.416666666667
1056,2021,8,0,100875,1165.875,89.25
1057,2021,11,0,165174.090909091,1812.45454545455,100
1058,2021,13,2,168864.333333333,2077.86666666667,85.5333333333333
1060,2021,7,5,110108.333333333,1019.25,109.166666666667
1061,2021,13,2,230448,2170.6,108.4
1062,2021,13,1,340139,2994.14285714286,112.285714285714
1063,2021,4,2,148608,2011.33333333333,75.6666666666667
1064,2021,21,0,201506.952380952,1972.33333333333,102.285714285714
1065,2021,16,0,260996.375,2554.75,107.25
1066,2021,3,0,78333.3333333333,1086.66666666667,60
1067,2021,2,0,207500,1999.5,103
1068,2021,15,1,127703.125,1423.75,98.375
1069,2021,22,3,203129.8,2192.4,91.88
1071,2021,49,46,503729.652631579,4660.82105263158,107.884210526316
1072,2021,49,27,215314.434210526,2245.86842105263,96.6710526315789
1073,2021,10,0,214809,2022.8,101.7
1074,2021,19,11,217823.333333333,2217.96666666667,100.633333333333
1075,2021,24,3,328131.407407407,2969.11111111111,114
1076,2021,6,0,55323.8333333333,540.833333333333,113
1077,2021,3,0,195333.333333333,2146.66666666667,101
1078,2021,15,2,509707.058823529,4557,117.764705882353
1079,2021,10,0,233588.4,2142,109.2
1080,2021,6,0,142166.666666667,1216.16666666667,120
1081,2021,11,0,256321.818181818,2560.18181818182,104.363636363636
1082,2021,7,1,211375.125,2024.875,99.5
1083,2021,13,0,286536.923076923,2783.69230769231,103.692307692308
1084,2021,13,0,252600,2072.23076923077,122.461538461538
1085,2021,5,0,234040,2476.2,93
1087,2021,1,0,86000,573,150
1088,2021,8,6,240664.285714286,3153.85714285714,77.1428571428571
1089,2021,15,0,250340,2170.06666666667,113.666666666667
1090,2021,3,0,215000,2161.33333333333,92.3333333333333
1092,2021,26,1,265970.37037037,2575.96296296296,104.074074074074
1093,2021,43,41,240590.297619048,2411.64285714286,99.5714285714286
1094,2021,16,0,141625,1468.5625,99.9375
1095,2021,14,1,150556,1550.53333333333,89.3333333333333
1096,2021,14,1,208441.333333333,1981.33333333333,104.866666666667
1098,2021,12,2,251875.714285714,2244.57142857143,119.714285714286
1099,2021,22,5,244369.518518519,2443.92592592593,103.888888888889
1100,2021,1,0,166200,1511,110
1102,2021,10,0,195922,1626.6,117.9
1103,2021,31,24,487755.036363636,4761.65454545455,102.709090909091
1104,2021,9,1,182300,2086.8,91.8
1105,2021,22,5,374959.555555556,3148.74074074074,122.111111111111
1106,2021,3,0,158541.666666667,1631.66666666667,95.3333333333333
1107,2021,2,0,154500,1571.5,89
1108,2021,18,1,176856.473684211,1565.05263157895,115.684210526316
1109,2021,39,22,327491.68852459,3573.88524590164,93.3114754098361
1110,2021,2,0,131750,1392,101.5
1111,2021,5,0,159900,1464.6,119.8
1112,2021,4,0,173262.5,1533.25,113.5
1113,2021,9,0,239888.888888889,2000.55555555556,125.777777777778
1114,2021,8,0,360879.625,2691,130.5
1115,2021,16,5,189000,1794.95238095238,114.809523809524
1116,2021,8,2,114450,1555.9,81.6
1117,2021,1,0,240000,1600,150
1118,2021,22,4,207917.807692308,2394,91.1923076923077
1121,2021,1,0,50000,500,100
1123,2021,16,0,243637.5,2240.6875,108.875
1124,2021,17,0,158972.941176471,1566.52941176471,100.823529411765
1125,2021,9,1,107039,1132.3,94
1127,2021,7,0,180454.285714286,1808.71428571429,118.857142857143
1128,2021,7,0,198571.428571429,1699.57142857143,116.428571428571
1129,2021,5,0,227585,2192.6,102
1130,2021,19,0,207576.315789474,1799.94736842105,122.105263157895
1133,2021,2,0,231425,1679,129
1134,2021,25,0,237521.6,2213,108.96
1135,2021,20,9,589631.655172414,5268.37931034483,115.965517241379
1136,2021,13,0,277605.384615385,1990.46153846154,152.846153846154
1138,2021,37,14,160042.333333333,1885.41176470588,88.1764705882353
1139,2021,13,0,131462.307692308,1233.46153846154,110.923076923077
1140,2021,11,0,206192,1982.54545454545,106.090909090909
1141,2021,10,0,248430,1875,139.3
1142,2021,40,17,282445.98245614,2871.91228070175,100.19298245614
1143,2021,73,146,580465.945205479,5601.37899543379,104.96803652968
1145,2021,20,1,238343.857142857,2225.61904761905,121.619047619048
1146,2021,6,0,261991.666666667,2442,111.166666666667
1147,2021,3,0,100833.333333333,982.333333333333,108.333333333333
1148,2021,16,2,188194.444444444,1975.33333333333,95
1149,2021,6,1,282142.857142857,2890.57142857143,95.5714285714286
1150,2021,3,0,255000,1606,155.333333333333
1151,2021,19,0,198605.263157895,1778.05263157895,124.736842105263
1152,2021,11,6,192555.882352941,1944.94117647059,110
1153,2021,35,4,668049.153846154,4886.82051282051,136.794871794872
1155,2021,4,0,92985,933.25,102.25
1156,2021,8,0,340167.5,2916.75,119.5
1157,2021,26,7,312029.393939394,2753.48484848485,116.848484848485
1158,2021,13,4,430128,4292.94117647059,102.705882352941
1159,2021,35,1,210858.194444444,2022.55555555556,108.305555555556
1160,2021,16,156,311920.715116279,4297.68023255814,73.5116279069767
1162,2021,1,0,145000,1543,94
