nom_gare;code_uic;code_postal;total_voyageurs_2022;total_voyageurs_2021;total_voyageurs_2020;total_voyageurs_2019;total_voyageurs_2018;totalvoyageurs2017;total_voyageurs_2016;total_voyageurs_2015
Abbaretz;481614;44170;40825;27466;22773;38473;38027;35637;33021;35989
Ablon-sur-Seine;545269;94480;1203692;1594567;660309;1457253;1462108;1471462;1453063;1427319
Achères Grand Cormier;386052;78100;177092;209673;126513;221003;228032;235698;238687;241046
Acheux - Franleu;316745;80560;2;0;0;2;235;104;308;898
Aigrefeuille le Thou;485193;17290;51200;32989;24987;31170;18670;14513;266;0
Aigueperse;734129;63260;70599;55143;50677;75954;70745;77218;78088;75873
Aillevillers;185629;70320;5628;5715;8639;7348;4429;5594;5942;6932
Ailly-sur-Somme;313098;80470;133695;112866;105120;134750;126145;130664;123926;130027
Albias;613398;82350;26119;19376;11378;11386;8780;11579;9415;10586
Albigny - Neuville;721266;69250;331589;248756;186241;238564;229444;246020;231790;239630
Allée Royale T13;710913;78210;0;0;0;0;0;0;0;0
Amplepuis;721035;69550;314879;245200;206265;317136;276412;317836;298064;289331
Andelot-en-Montagne;715102;39320;25960;9982;4698;5782;4050;6806;9288;9918
Angers Maître École;484048;49000;33549;23674;18317;23126;16070;12708;12663;16649
Angerville;543090;91670;151343;130031;75617;183224;175547;170954;162250;153525
Anzeling;191387;57320;1081;1789;1560;1591;1191;744;657;791
Arbanats;582726;33640;51865;50805;46502;58138;42489;40409;38450;40206
Arc-et-Senans;718841;25610;77323;56289;47438;55544;43376;50233;47098;43531
Arcy-sur-Cure;683680;89270;4514;3008;2568;2752;2091;2408;1962;2249
Argenteuil;381848;95100;16033835;14527144;8206484;16219640;16094786;15608674;15388969;14929217
Argenton-sur-Creuse;597120;36200;199166;145226;118590;153723;128952;134473;126215;136447
Arles;753657;13200;781295;589761;358566;690306;646535;715084;677260;688498
Arnage;396549;72230;10403;8831;7963;12703;14550;17688;15575;19029
Arrou;394486;28290;11613;9504;7471;8096;7113;7322;6770;6001
Aubazines - Saint-Hilaire;594465;19190;9738;6209;5011;8137;6662;8054;7895;8467
Aubiat;734111;63260;7790;5672;5053;8809;7945;6420;4849;4419
Aubigny-au-Bac;345447;59265;28473;23090;25519;50636;44209;47944;49293;52267
Aubrives;172122;8320;11188;9456;9818;10424;9357;9767;9191;9739
Auch;611749;32000;261165;194599;151588;225670;191987;239210;217086;232730
Auray;476200;56400;1110096;867879;623457;887927;786183;829917;798576;790588
Auterive;611384;31190;356140;301569;258534;343578;316911;396360;394346;410463
Auxonne;713347;21130;362209;258572;246666;298952;270708;284494;272128;269718
Avord;576439;18520;53799;39421;28256;35132;27513;28903;26383;26562
Avoudrey;718551;25690;22034;10155;13740;21973;15850;17198;17448;19852
Aytré Plage;437806;17440;13419;9707;7205;11310;9352;11792;12485;13118
Azay-le-Rideau;571638;37190;112458;76788;66667;84578;72388;71656;70146;70977
Azerailles;141408;54122;11158;8498;7448;10951;10053;11678;12881;15799
Babinière;590349;44240;53740;32561;34528;65168;93097;114818;107295;96983
Bagneaux-sur-Loing;684191;77167;24011;28521;13759;29663;57849;114246;223786;439600
Bagnols-sur-Cèze;764571;30200;18495;0;0;0;0;0;0;0
Balsièges Bourg;111864;48000;26;0;16;12;6;2;5;3
Bannalec;474189;29380;41701;29217;25645;28103;22562;22688;23072;23529
Bantzenheim;182840;68490;6457;5363;4662;7285;8034;9423;10091;10914
Barenton-Bugny;297291;2000;11089;9498;6211;6141;8608;11174;10665;9537
Bas Évette;184200;90350;11503;6392;3614;6821;5387;6267;5992;6166
Bassens;581850;33530;60486;38136;23363;39149;24017;18450;13262;16097
Bayard;175133;52170;119;145;193;981;2074;1296;1730;2037
Bayon;141218;54290;163022;127453;106890;139986;131165;140910;140514;146075
Bayonne;673004;64100;1322129;1000265;660529;948134;829006;901165;800871;839085
Baziège;611723;31450;94556;72192;52111;55961;50573;68316;67474;74680
Beautiran;582700;33640;345518;252152;189370;275136;235945;220784;202064;178820
Beauvoir-sur-Niort;485342;79360;38082;29514;25176;26170;24235;24545;24094;22629
Bédarieux;781609;34600;35301;23592;16035;13726;15337;17095;16859;17230
Belfort;184002;90000;1245496;908286;775926;1124537;1006802;1146193;1059616;1159439
